The data from AMD is             Open  High   Low  Close  Adj Close    Volume
Date                                                    
2012-12-31  2.29  2.42  2.28   2.40       2.40  20698200
2013-01-02  2.55  2.57  2.45   2.53       2.53  27214800
2013-01-03  2.52  2.59  2.46   2.49       2.49  24966900
2013-01-04  2.51  2.59  2.49   2.59       2.59  22054200
2013-01-07  2.61  2.70  2.60   2.67       2.67  25575200
2013-01-08  2.72  2.76  2.64   2.67       2.67  29140800
2013-01-09  2.70  2.72  2.60   2.63       2.63  16675100
2013-01-10  2.69  2.70  2.61   2.62       2.62  19408800
2013-01-11  2.63  2.68  2.55   2.67       2.67  20032100
2013-01-14  2.68  2.70  2.62   2.64       2.64  17300300
2013-01-15  2.62  2.70  2.60   2.68       2.68  23696400
2013-01-16  2.67  2.76  2.63   2.72       2.72  31384700
2013-01-17  2.76  2.78  2.71   2.74       2.74  17872200
2013-01-18  2.65  2.68  2.43   2.46       2.46  41786200
2013-01-22  2.52  2.54  2.43   2.45       2.45  35143000
2013-01-23  2.62  2.75  2.59   2.73       2.73  69200500
2013-01-24  2.70  2.84  2.67   2.79       2.79  32497200
2013-01-25  2.84  2.93  2.82   2.85       2.85  33639700
2013-01-28  2.89  2.92  2.78   2.82       2.82  23636700
2013-01-29  2.86  2.86  2.69   2.74       2.74  20071100
2013-01-30  2.75  2.78  2.63   2.65       2.65  19781200
2013-01-31  2.70  2.71  2.45   2.60       2.60  27846400
2013-02-01  2.63  2.68  2.57   2.60       2.60  18806200
2013-02-04  2.63  2.64  2.52   2.52       2.52  15382300
2013-02-05  2.55  2.60  2.49   2.60       2.60  12440400
2013-02-06  2.59  2.64  2.56   2.60       2.60   8831000
2013-02-07  2.61  2.63  2.56   2.57       2.57   6780200
2013-02-08  2.58  2.60  2.58   2.59       2.59   5972800
2013-02-11  2.59  2.70  2.59   2.67       2.67  22415300
2013-02-12  2.71  2.78  2.69   2.77       2.77  13675500
...          ...   ...   ...    ...        ...       ...
2014-11-17  2.62  2.69  2.61   2.67       2.67  12593800
2014-11-18  2.69  2.73  2.63   2.65       2.65  14967800
2014-11-19  2.68  2.68  2.61   2.63       2.63  10323300
2014-11-20  2.60  2.72  2.59   2.69       2.69  15043900
2014-11-21  2.72  2.77  2.71   2.77       2.77  11311600
2014-11-24  2.80  2.85  2.80   2.83       2.83  12293900
2014-11-25  2.84  2.86  2.76   2.83       2.83  11073600
2014-11-26  2.81  2.84  2.80   2.84       2.84  10553500
2014-11-28  2.85  2.85  2.77   2.79       2.79   5665000
2014-12-01  2.77  2.79  2.64   2.67       2.67  16025100
2014-12-02  2.69  2.71  2.61   2.68       2.68  12438800
2014-12-03  2.71  2.82  2.69   2.74       2.74  18256500
2014-12-04  2.75  2.75  2.66   2.69       2.69  14513400
2014-12-05  2.69  2.70  2.66   2.66       2.66   9479300
2014-12-08  2.65  2.68  2.52   2.58       2.58  25402100
2014-12-09  2.55  2.59  2.49   2.59       2.59  22914800
2014-12-10  2.58  2.58  2.46   2.48       2.48  17690100
2014-12-11  2.51  2.54  2.46   2.49       2.49  10151600
2014-12-12  2.46  2.55  2.35   2.52       2.52  21211600
2014-12-15  2.52  2.60  2.46   2.47       2.47  19636400
2014-12-16  2.44  2.53  2.42   2.50       2.50  17051600
2014-12-17  2.50  2.57  2.46   2.55       2.55  12521300
2014-12-18  2.58  2.59  2.54   2.55       2.55  12423900
2014-12-19  2.53  2.57  2.51   2.57       2.57  14701500
2014-12-22  2.55  2.68  2.52   2.66       2.66  15044900
2014-12-23  2.69  2.72  2.66   2.67       2.67   8274400
2014-12-24  2.63  2.70  2.63   2.65       2.65   4624000
2014-12-26  2.65  2.69  2.65   2.65       2.65   4029600
2014-12-29  2.64  2.66  2.63   2.66       2.66   8527000
2014-12-30  2.64  2.70  2.63   2.63       2.63   7783700

[504 rows x 6 columns]
