The data from NVIDIA is                  Open       High        Low      Close  Adj Close    Volume
Date                                                                       
2012-12-31  12.060000  12.310000  12.030000  12.260000  11.396859   8161500
2013-01-02  12.560000  12.730000  12.510000  12.720000  11.824475  11970900
2013-01-03  12.720000  12.870000  12.580000  12.730000  11.833767   7472200
2013-01-04  12.750000  13.190000  12.710000  13.150000  12.224204  13124200
2013-01-07  13.140000  13.180000  12.680000  12.770000  11.870955  15268300
2013-01-08  12.800000  12.840000  12.400000  12.490000  11.610667  11660600
2013-01-09  12.590000  12.650000  12.130000  12.210000  11.350378  17375500
2013-01-10  12.320000  12.380000  12.160000  12.230000  11.368973  12659200
2013-01-11  12.280000  12.290000  12.090000  12.210000  11.350378  12829300
2013-01-14  12.290000  12.290000  12.060000  12.200000  11.341084   7642100
2013-01-15  12.140000  12.140000  11.910000  11.980000  11.136572   9397200
2013-01-16  11.960000  12.190000  11.960000  12.090000  11.238830   8434400
2013-01-17  12.130000  12.300000  12.100000  12.250000  11.387567  14518400
2013-01-18  12.250000  12.250000  12.020000  12.170000  11.313194   9927200
2013-01-22  12.160000  12.270000  12.050000  12.110000  11.257421   7705600
2013-01-23  12.150000  12.160000  12.000000  12.130000  11.276011  10545200
2013-01-24  12.090000  12.240000  12.030000  12.190000  11.331788   9924500
2013-01-25  12.210000  12.420000  12.150000  12.410000  11.536300   9848000
2013-01-28  12.470000  12.690000  12.440000  12.610000  11.722219  10562300
2013-01-29  12.560000  12.590000  12.290000  12.340000  11.471229   9721800
2013-01-30  12.350000  12.520000  12.280000  12.320000  11.452638   7189800
2013-01-31  12.320000  12.460000  12.180000  12.260000  11.396859  11763600
2013-02-01  12.360000  12.410000  12.260000  12.370000  11.499116   7220400
2013-02-04  12.300000  12.550000  12.150000  12.160000  11.303901  12793600
2013-02-05  12.220000  12.510000  12.180000  12.440000  11.564191   9182400
2013-02-06  12.140000  12.440000  12.070000  12.340000  11.471229  13267200
2013-02-07  12.300000  12.400000  12.170000  12.290000  11.424747  11000000
2013-02-08  12.370000  12.470000  12.290000  12.370000  11.499116   7680800
2013-02-11  12.470000  12.640000  12.350000  12.510000  11.629258  10207700
2013-02-12  12.400000  12.570000  12.380000  12.430000  11.554893   6945100
...               ...        ...        ...        ...        ...       ...
2014-11-17  19.700001  19.910000  19.570000  19.700001  18.967789   3968300
2014-11-18  19.709999  20.219999  19.660000  20.170000  19.420319   5194300
2014-11-19  20.100000  20.160000  19.799999  20.010000  19.347803   6007500
2014-11-20  19.870001  20.360001  19.809999  20.340000  19.666878   5524200
2014-11-21  20.520000  20.549999  20.280001  20.450001  19.773245   4974400
2014-11-24  20.500000  20.670000  20.420000  20.580000  19.898939   3400100
2014-11-25  20.540001  20.719999  20.500000  20.570000  19.889267   4756000
2014-11-26  20.450001  20.940001  20.440001  20.920000  20.227686   5481600
2014-11-28  20.990000  21.090000  20.799999  20.969999  20.276031   3120800
2014-12-01  20.879999  21.000000  20.549999  20.580000  19.898939   4751500
2014-12-02  20.559999  20.700001  20.370001  20.610001  19.927946   6148800
2014-12-03  20.709999  21.150000  20.650000  21.139999  20.440403   7110600
2014-12-04  21.110001  21.190001  20.809999  20.950001  20.256695   4633300
2014-12-05  20.959999  21.180000  20.950001  21.070000  20.372721   4142000
2014-12-08  21.040001  21.250000  20.629999  20.799999  20.111656   5673600
2014-12-09  20.670000  20.780001  20.360001  20.730000  20.043976   5986200
2014-12-10  20.670000  20.750000  20.250000  20.270000  19.599199   5109100
2014-12-11  20.389999  20.530001  20.219999  20.260000  19.589527   3391300
2014-12-12  19.990000  20.170000  19.610001  19.629999  18.980377   8099100
2014-12-15  19.860001  20.219999  19.510000  19.570000  18.922363   6367400
2014-12-16  19.549999  19.860001  19.340000  19.350000  18.709644   4632700
2014-12-17  19.740000  20.170000  19.100000  20.139999  19.473499   8639900
2014-12-18  20.389999  20.629999  20.030001  20.219999  19.550850   5653900
2014-12-19  20.360001  20.500000  20.170000  20.420000  19.744232   8138200
2014-12-22  20.400000  20.780001  20.330000  20.780001  20.092321   3724400
2014-12-23  20.940001  21.040001  20.629999  20.650000  19.966619   2732000
2014-12-24  20.700001  20.730000  20.549999  20.570000  19.889267   1141100
2014-12-26  20.570000  20.700001  20.520000  20.590000  19.908609   1315900
2014-12-29  20.530001  20.700001  20.430000  20.559999  19.879606   2073600
2014-12-30  20.420000  20.520000  20.340000  20.370001  19.695890   2803000

[504 rows x 6 columns]
