Date,HDFC Bank
4-Dec-15,1058.9
7-Dec-15,1061.95
8-Dec-15,1049.25
9-Dec-15,1047.45
10-Dec-15,1060.6
11-Dec-15,1046.35
14-Dec-15,1055.05
15-Dec-15,1059.45
16-Dec-15,1067.3
17-Dec-15,1080.25
18-Dec-15,1073
21-Dec-15,1075.4
22-Dec-15,1066.45
23-Dec-15,1074.1
24-Dec-15,1074
28-Dec-15,1077.25
29-Dec-15,1077.95
30-Dec-15,1074.3
31-Dec-15,1082.15
1-Jan-16,1088.75
4-Jan-16,1070.5
5-Jan-16,1062.4
6-Jan-16,1067.1
7-Jan-16,1056.2
8-Jan-16,1062.35
11-Jan-16,1058.6
12-Jan-16,1046.95
13-Jan-16,1060.15
14-Jan-16,1049.75
15-Jan-16,1042.15
18-Jan-16,1025.85
19-Jan-16,1035.8
20-Jan-16,1018.3
21-Jan-16,1023
22-Jan-16,1030.3
25-Jan-16,1041.15
27-Jan-16,1035.65
28-Jan-16,1031.7
29-Jan-16,1049.85
1-Feb-16,1059.75
2-Feb-16,1053.8
3-Feb-16,1043.85
4-Feb-16,1049.2
5-Feb-16,1055.25
8-Feb-16,1035.85
9-Feb-16,1026.05
10-Feb-16,1012.95
11-Feb-16,975.3
12-Feb-16,971.4
15-Feb-16,973.6
16-Feb-16,973.45
17-Feb-16,974.9
18-Feb-16,989.45
19-Feb-16,989.3
22-Feb-16,988.75
23-Feb-16,970.05
24-Feb-16,949.6
25-Feb-16,942.65
26-Feb-16,961
29-Feb-16,971.85
1-Mar-16,984.15
2-Mar-16,1007.2
3-Mar-16,1015.85
4-Mar-16,1020.55
8-Mar-16,1014.15
9-Mar-16,1024.8
10-Mar-16,1021.25
11-Mar-16,1028.7
14-Mar-16,1027.55
15-Mar-16,1026.7
16-Mar-16,1030.45
17-Mar-16,1018.4
18-Mar-16,1028.4
21-Mar-16,1045.6
22-Mar-16,1053.85
23-Mar-16,1049.35
28-Mar-16,1047.5
29-Mar-16,1053.8
30-Mar-16,1064.95
31-Mar-16,1071.15
1-Apr-16,1064.45
4-Apr-16,1069.05
5-Apr-16,1057.45
6-Apr-16,1061.5
7-Apr-16,1055.5
8-Apr-16,1059.35
11-Apr-16,1070.95
12-Apr-16,1063
13-Apr-16,1081.75
18-Apr-16,1087.8
20-Apr-16,1097.85
21-Apr-16,1091.15
22-Apr-16,1092.15
25-Apr-16,1093.25
26-Apr-16,1113.85
27-Apr-16,1124.2
28-Apr-16,1113.95
29-Apr-16,1132.35
2-May-16,1117.65
3-May-16,1118
4-May-16,1127.35
5-May-16,1132.3
6-May-16,1119.65
9-May-16,1141.4
10-May-16,1144.9
11-May-16,1138.8
12-May-16,1149.1
13-May-16,1140.9
16-May-16,1162.8
17-May-16,1153.45
18-May-16,1140.65
19-May-16,1139.3
20-May-16,1140.9
23-May-16,1136.75
24-May-16,1139.95
25-May-16,1173.3
26-May-16,1183.25
27-May-16,1186.8
30-May-16,1179.75
31-May-16,1181.9
1-Jun-16,1175.15
2-Jun-16,1174.95
3-Jun-16,1171.75
6-Jun-16,1171.1
7-Jun-16,1173.7
8-Jun-16,1162.6
9-Jun-16,1159.4
10-Jun-16,1161.35
13-Jun-16,1152.9
14-Jun-16,1151.85
15-Jun-16,1169.55
16-Jun-16,1162.15
17-Jun-16,1170
20-Jun-16,1172.05
21-Jun-16,1166.65
22-Jun-16,1171.5
23-Jun-16,1190.1
24-Jun-16,1161.9
27-Jun-16,1159.95
28-Jun-16,1166.95
29-Jun-16,1168.3
30-Jun-16,1176.45
1-Jul-16,1174.5
4-Jul-16,1172.8
5-Jul-16,1165.6
7-Jul-16,1185.65
8-Jul-16,1174.85
11-Jul-16,1199.75
12-Jul-16,1202.15
13-Jul-16,1197.75
14-Jul-16,1200.35
15-Jul-16,1223.7
18-Jul-16,1227.45
19-Jul-16,1218.35
20-Jul-16,1232.2
21-Jul-16,1228.6
22-Jul-16,1230.8
25-Jul-16,1246.95
26-Jul-16,1238.8
27-Jul-16,1236.95
28-Jul-16,1248.45
29-Jul-16,1246.2
1-Aug-16,1242.3
2-Aug-16,1243.3
3-Aug-16,1240.45
4-Aug-16,1241
5-Aug-16,1249.25
8-Aug-16,1249.6
9-Aug-16,1247.2
10-Aug-16,1226.9
11-Aug-16,1228.25
12-Aug-16,1228.7
16-Aug-16,1227.3
17-Aug-16,1234.9
18-Aug-16,1252.5
19-Aug-16,1247.1
22-Aug-16,1250.3
23-Aug-16,1251.45
24-Aug-16,1261.8
25-Aug-16,1258.55
26-Aug-16,1257.1
29-Aug-16,1238.1
30-Aug-16,1268.65
31-Aug-16,1291.2
1-Sep-16,1283.7
2-Sep-16,1285.1
6-Sep-16,1300.4
