Date,ICICI Bank
4-Dec-15,261.45
7-Dec-15,263.05
8-Dec-15,261.45
9-Dec-15,259.45
10-Dec-15,258.95
11-Dec-15,249.3
14-Dec-15,249
15-Dec-15,246.4
16-Dec-15,252.05
17-Dec-15,253.15
18-Dec-15,250.1
21-Dec-15,258.2
22-Dec-15,259.55
23-Dec-15,261.85
24-Dec-15,257.95
28-Dec-15,264.05
29-Dec-15,264.75
30-Dec-15,262.35
31-Dec-15,261.35
1-Jan-16,263
4-Jan-16,255.55
5-Jan-16,256.7
6-Jan-16,250.1
7-Jan-16,246.75
8-Jan-16,245.05
11-Jan-16,239.45
12-Jan-16,236.75
13-Jan-16,239.5
14-Jan-16,235.75
15-Jan-16,224.45
18-Jan-16,223.1
19-Jan-16,228.75
20-Jan-16,224.4
21-Jan-16,226.3
22-Jan-16,232.75
25-Jan-16,236.05
27-Jan-16,237.3
28-Jan-16,233.2
29-Jan-16,230.15
1-Feb-16,217.2
2-Feb-16,210.4
3-Feb-16,204.05
4-Feb-16,203.95
5-Feb-16,209.4
8-Feb-16,208.55
9-Feb-16,209.4
10-Feb-16,207.25
11-Feb-16,199.25
12-Feb-16,193.55
15-Feb-16,203.5
16-Feb-16,196.6
17-Feb-16,190.75
18-Feb-16,196.15
19-Feb-16,198.8
22-Feb-16,198.45
23-Feb-16,192
24-Feb-16,187
25-Feb-16,183
26-Feb-16,184.8
29-Feb-16,190.05
1-Mar-16,204.95
2-Mar-16,220
3-Mar-16,218
4-Mar-16,220.5
8-Mar-16,216.85
9-Mar-16,216.35
10-Mar-16,215.5
11-Mar-16,213.85
14-Mar-16,221.65
15-Mar-16,221.35
16-Mar-16,226.4
17-Mar-16,227.75
18-Mar-16,230.2
21-Mar-16,234.85
22-Mar-16,233.6
23-Mar-16,234.2
28-Mar-16,225.45
29-Mar-16,223.4
30-Mar-16,237.5
31-Mar-16,236.65
1-Apr-16,238.3
4-Apr-16,238.75
5-Apr-16,225.6
6-Apr-16,222.55
7-Apr-16,220.3
8-Apr-16,221.25
11-Apr-16,224.7
12-Apr-16,228.75
13-Apr-16,240.65
18-Apr-16,237.15
20-Apr-16,238.05
21-Apr-16,253.05
22-Apr-16,252
25-Apr-16,252.95
26-Apr-16,254.05
27-Apr-16,244.6
28-Apr-16,240.1
29-Apr-16,236.95
2-May-16,226.75
3-May-16,221.1
4-May-16,214.45
5-May-16,214.65
6-May-16,218.6
9-May-16,225.3
10-May-16,225.5
11-May-16,223.95
12-May-16,231.8
13-May-16,226.5
16-May-16,223.75
17-May-16,225.95
18-May-16,226.45
19-May-16,225.55
20-May-16,220.1
23-May-16,221.1
24-May-16,224.55
25-May-16,235
26-May-16,241.15
27-May-16,243.15
30-May-16,244.5
31-May-16,244.65
1-Jun-16,240.05
2-Jun-16,241.35
3-Jun-16,243.75
6-Jun-16,243.5
7-Jun-16,254.1
8-Jun-16,257.65
9-Jun-16,254.55
10-Jun-16,252.6
13-Jun-16,243.75
14-Jun-16,244.95
15-Jun-16,247.95
16-Jun-16,239.05
17-Jun-16,238.45
20-Jun-16,238.1
21-Jun-16,237.85
22-Jun-16,239
23-Jun-16,240.9
24-Jun-16,230.95
27-Jun-16,232.7
28-Jun-16,233.15
29-Jun-16,236.65
